method,query_id,query_type,positive_page_ids,candidate_universe,rank,page_id,score
bm25,manual-b-p01-q01,table,manual-b-p01,evaluated_split_pages,1,manual-b-p01,0.417554935706
bm25,manual-b-p01-q01,table,manual-b-p01,evaluated_split_pages,2,manual-b-p04,0.393054889092
bm25,manual-b-p01-q01,table,manual-b-p01,evaluated_split_pages,3,manual-b-p05,0.393054889092
bm25,manual-b-p01-q01,table,manual-b-p01,evaluated_split_pages,4,manual-b-p02,0.391279610188
bm25,manual-b-p01-q01,table,manual-b-p01,evaluated_split_pages,5,manual-b-p03,0.391279610188
bm25,manual-b-p01-q01,table,manual-b-p01,evaluated_split_pages,6,manual-b-p06,0.391279610188
bm25,manual-b-p01-q01,table,manual-b-p01,evaluated_split_pages,7,manual-b-p07,0.391279610188
bm25,manual-b-p01-q01,table,manual-b-p01,evaluated_split_pages,8,manual-b-p08,0.391279610188
bm25,manual-b-p01-q02,text,manual-b-p01,evaluated_split_pages,1,manual-b-p01,2.39236064529
bm25,manual-b-p01-q02,text,manual-b-p01,evaluated_split_pages,2,manual-b-p04,0.570331599854
bm25,manual-b-p01-q02,text,manual-b-p01,evaluated_split_pages,3,manual-b-p05,0.570331599854
bm25,manual-b-p01-q02,text,manual-b-p01,evaluated_split_pages,4,manual-b-p02,0.567984527109
bm25,manual-b-p01-q02,text,manual-b-p01,evaluated_split_pages,5,manual-b-p03,0.567984527109
bm25,manual-b-p01-q02,text,manual-b-p01,evaluated_split_pages,6,manual-b-p06,0.567984527109
bm25,manual-b-p01-q02,text,manual-b-p01,evaluated_split_pages,7,manual-b-p07,0.567984527109
bm25,manual-b-p01-q02,text,manual-b-p01,evaluated_split_pages,8,manual-b-p08,0.567984527109
bm25,manual-b-p01-q03,layout,manual-b-p01,evaluated_split_pages,1,manual-b-p01,2.56438804322
bm25,manual-b-p01-q03,layout,manual-b-p01,evaluated_split_pages,2,manual-b-p06,0.763624332203
bm25,manual-b-p01-q03,layout,manual-b-p01,evaluated_split_pages,3,manual-b-p04,0.742358997786
bm25,manual-b-p01-q03,layout,manual-b-p01,evaluated_split_pages,4,manual-b-p05,0.742358997786
