method,query_id,query_type,positive_page_ids,candidate_universe,rank,page_id,score
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,1,manual-c-p01,0.417554935706
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,2,manual-c-p04,0.393054889092
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,3,manual-c-p05,0.393054889092
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,4,manual-c-p02,0.391279610188
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,5,manual-c-p03,0.391279610188
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,6,manual-c-p06,0.391279610188
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,7,manual-c-p07,0.391279610188
bm25,manual-c-p01-q01,table,manual-c-p01,evaluated_split_pages,8,manual-c-p08,0.391279610188
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,1,manual-c-p01,0.676674159059
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,2,manual-c-p04,0.603174019218
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,3,manual-c-p05,0.603174019218
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,4,manual-c-p02,0.600538916373
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,5,manual-c-p03,0.600538916373
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,6,manual-c-p06,0.600538916373
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,7,manual-c-p07,0.600538916373
bm25,manual-c-p01-q02,text,manual-c-p01,evaluated_split_pages,8,manual-c-p08,0.600538916373
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,1,manual-c-p01,0.848701556991
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,2,manual-c-p06,0.796178721467
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,3,manual-c-p04,0.77520141715
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,4,manual-c-p05,0.77520141715
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,5,manual-c-p02,0.771684562141
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,6,manual-c-p03,0.771684562141
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,7,manual-c-p07,0.771684562141
bm25,manual-c-p01-q03,layout,manual-c-p01,evaluated_split_pages,8,manual-c-p08,0.771684562141
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,1,manual-c-p02,3.85381350305
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,2,manual-c-p01,0.253869910524
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,3,manual-c-p04,0.253869910524
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,4,manual-c-p05,0.253869910524
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,5,manual-c-p03,0.252688353684
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,6,manual-c-p06,0.252688353684
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,7,manual-c-p07,0.252688353684
bm25,manual-c-p02-q01,figure,manual-c-p02,evaluated_split_pages,8,manual-c-p08,0.252688353684
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,1,manual-c-p02,4.14461551715
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,2,manual-c-p01,0.570331599854
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,3,manual-c-p04,0.54583155324
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,4,manual-c-p05,0.54583155324
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,5,manual-c-p03,0.543490367783
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,6,manual-c-p06,0.543490367783
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,7,manual-c-p07,0.543490367783
bm25,manual-c-p02-q02,text,manual-c-p02,evaluated_split_pages,8,manual-c-p08,0.543490367783
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,1,manual-c-p07,4.01964376174
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,2,manual-c-p01,0.444738306864
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,3,manual-c-p04,0.444738306864
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,4,manual-c-p05,0.444738306864
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,5,manual-c-p02,0.443012771695
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,6,manual-c-p03,0.443012771695
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,7,manual-c-p06,0.443012771695
bm25,manual-c-p02-q03,ocr_failure,manual-c-p02,evaluated_split_pages,8,manual-c-p08,0.443012771695
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,1,manual-c-p03,6.02253395003
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,2,manual-c-p01,0.685016531809
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,3,manual-c-p06,0.682081624288
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,4,manual-c-p04,0.660516485195
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,5,manual-c-p05,0.660516485195
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,6,manual-c-p02,0.657587464962
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,7,manual-c-p07,0.657587464962
bm25,manual-c-p03-q01,layout,manual-c-p03,evaluated_split_pages,8,manual-c-p08,0.657587464962
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,1,manual-c-p03,5.85138830426
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,2,manual-c-p01,0.512989133876
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,3,manual-c-p04,0.488489087263
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,4,manual-c-p05,0.488489087263
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,5,manual-c-p02,0.486441819194
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,6,manual-c-p06,0.486441819194
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,7,manual-c-p07,0.486441819194
bm25,manual-c-p03-q02,text,manual-c-p03,evaluated_split_pages,8,manual-c-p08,0.486441819194
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,1,manual-c-p02,2.06549800803
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,2,manual-c-p03,2.04100384871
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,3,manual-c-p01,0.253869910524
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,4,manual-c-p04,0.253869910524
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,5,manual-c-p05,0.253869910524
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,6,manual-c-p06,0.252688353684
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,7,manual-c-p07,0.252688353684
bm25,manual-c-p03-q03,figure,manual-c-p03,evaluated_split_pages,8,manual-c-p08,0.252688353684
